"Read Details","Lees details"
"Mark as Read","Markeren als gelezen"
"Are you sure?","Weet u het zeker?"
Remove,Verwijder
"Messages Inbox",Berichteninbox
"You have %1 new system messages","U heeft %1 nieuwe systeemberichten"
"You have %1 new system message","U heeft %1 nieuw systeembericht"
"Incoming Message","Inkomend bericht"
close,Sluiten
Notifications,Meldingen
"The message has been marked as Read.","Het bericht is gemarkeerd als gelezen."
"We couldn't mark the notification as Read because of an error.","Het bericht kan niet als gelezen gemarkeerd worden door een fout."
"Please select messages.","Selecteer de meldingen."
"A total of %1 record(s) have been marked as Read.","%1 bericht(en) zijn gemarkeerd als gelezen."
"Total of %1 record(s) have been removed.","%1 bericht(en) zijn verwijderd."
"We couldn't remove the messages because of an error.","Het bericht kan niet verwijderd worden door een fout."
"The message has been removed.","De notificatie is verwijderd"
"1 Hour","1 uur"
"2 Hours","2 uur"
"6 Hours","6 uur"
"12 Hours","12 uur"
"24 Hours","24 uur"
critical,kritisch
major,belangrijk
minor,gering
notice,melding
"Wrong message type","Verkeerde bericht-type"
"Wrong notification ID specified.","Verkeerde melding ID opgegeven."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} wordt niet geadviseerd in een productie omgeving om de Onveilige Basis URL mee te definiÃ«ren. Het wordt aangeraden om deze waarde in uw Magento <a href=""%1"">configuratie</a> aan te passen."
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ga naar <a href=""%1"">Cache Beheer</a> om de cache types te verversen."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We waren niet in staat om een of meer mediabestanden te synchroniseren. Gelieve het logboekbestand bekijken voor meer informatie."
"Synchronization of media storages has been completed.","Synchronisatie van media opslagplaatsen is voltooid."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Uw webserver is niet goed geconfigureerd. Hierdoor kan ongeoorloofde toegang tot gevoelige bestanden plaats vinden. Neem contact op met uw serviceprovider."
"System Messages:",Systeemberichten:
"Critical System Messages","Kritische Systeemberichten"
"Major System Messages","Belangrijke Systeemberichten"
"System messages",Systeemberichten
Close,Sluiten
"See All (","Alles bekijken ("
"Please correct the data sent.","Corrigeer de gegevens die zijn verzonden."
"Entity type model '%1' is not found","Type entiteitsmodel '%1' is niet gevonden"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entiteitstype model moet onderdeel zijn van\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Er zijn geen product-typen beschikbaar om te exporteren"
"We can't find the role for the user you wanted.","Wij kunnen de rol niet vinden voor de gebruiker die u selecteerde."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Er ging iets mis tijdens het compileren van een lijst van toegestane resources. U vindt meer informatie in de exceptions log."
"You created the order.","U heeft de order aangemaakt."
"Order saving error: %1","Fout tijdens opslaan van order: %1"
"Please choose a payment method.","Kies een betaalwijze."
"We can't process your order right now. Please try again later.","We kunnen uw bestelling nu niet verwerken. Probeer het later nog eens."
"Credit Card: xxxx-%1","Creditcard: xxxx-%1"
"amount %1","bedrag %1"
failed.,mislukt.
successful.,succesvol.
"Authorize.Net Transaction ID %1.","Authorize.Net Transactie ID %1."
"Gateway error: %1","Portaal fout: %1"
"Something went wrong in the payment gateway.","Er is een fout opgetreden in het betaal portaal."
"Invalid transaction ID.","Incorrect transactie ID."
"The transaction was declined because the response hash validation failed.","De transactie is afgekeurd omdat de antwoord hash validatie niet klopte."
"This payment didn't work out because we can't find this order.","De transactie is afgekeurd omdat de bestelling niet gevonden kan worden."
"There was a payment authorization error.","Er was een betalings-autorisatie fout."
"Please enter a transaction ID to authorize this payment.","Voer een transactie-ID voor het autoriseren van deze betaling."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Er ging iets mis: het betaalde bedrag komt niet overeen met het bedrag van de bestelling. Corrigeer dit en probeer het opnieuw."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transactie %1 is goedgekeurd. Bedrag %2. De status van de transactie is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transactie %1 is ongeldig/geweigerd. De status van de transactie is ""%2"". Bedrag %3."
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Authoriseer en Capture"
"Unable to get transaction details. Try again later.","Het is niet mogelijk om de transactie details op te halen. Probeer het later opnieuw."
"Credit Card Type",Creditcard-maatschappij
"Credit Card Number",Creditcard-nummer
"Expiration Date",Vervaldatum
"Card Verification Number",Verificatienummer
"FDS Filter Action","FDS filteractie"
"AVS Response","AVS Antwoord"
"Card Code Response","Kaart Code Antwoord"
"CAVV Response","CAVV Antwoord"
"Fraud Filters","Fraude Filters"
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Gelieve de pagina te vernieuwen."
"You entered an invalid Secret Key. Please refresh the page.","Er is een incorrecte Secret Key ingevoerd. Ververs de pagina."
"Cache Storage Management","Beheer cachegeheugen"
"Flush Magento Cache","Leeg Magento Cache"
"The cache storage may contain additional data. Are you sure that you want to flush it?","De cache opslag kan extra informatie bevatten. Weet u zeker dat u dit wil legen?"
"Flush Cache Storage","Leeg Cachegeheugen"
Invalidated,Ongeldig
Orders,Bestellingen
Amounts,Bedragen
Bestsellers,"Meest verkochte producten"
"Most Viewed Products","Meest bekeken producten"
"New Customers","Nieuwe klanten"
Customers,Klanten
Customer,Klant
Guest,Gast
Items,Producten
Total,Totaal
"Lifetime Sales","Verkopen tot nu toe"
"Average Order","Gemiddelde orderwaarde"
Average,Gemiddeld
Price,Prijs
Quantity,Aantal
Views,Weergaven
Revenue,Omzet
Tax,BTW
Shipping,Aflevering
"Images (.gif .jpg .png)","Afbeeldingen (.gif.jpg .png)"
"All Files","Alle bestanden"
"Reset to Default","Standaard herstellen"
"All Store Views","Alle Winkelaanzichten"
"What is this?","Wat is dit?"
"Save Account","Account opslaan"
"My Account","Mijn account"
"Account Information",Accountinformatie
"User Name",Gebruikersnaam
"First Name",Voornaam
"Last Name",Achternaam
Email,E-mail
"User Email","E-mail van gebruiker"
"New Password","Nieuw wachtwoord"
"Password Confirmation","Wachtwoord bevestiging"
"Interface Locale","Lokale interface"
"Current User Identity Verification","Huidige gebruiker verificatie"
"Your Password","Uw wachtwoord"
"Save Cache Settings","Cache-instellingen opslaan"
"Catalog Rewrites","Catalogus Rewrites"
Refresh,Vernieuwen
"Images Cache",Afbeeldingen-cache
Clear,Legen
"Search Index",Zoekindex
Rebuild,Herindexeren
"Inventory Stock Status",Voorraad-status
"Rebuild Catalog Index","Herbouw catalogus index"
"Rebuild Flat Catalog Category","Herbouw productcatalogus"
"Rebuild Flat Catalog Product","Herbouw productcatalogus"
"Cache Control","Beheer cache"
"All Cache","Gehele cache"
"No change","Geen wijziging"
Disable,Uitschakelen
Enable,Inschakelen
"Add Design Change","Design-wijziging toevoegen"
Back,Terug
